iterations,metrics (avg),elapsed_time (mins),memory (GB)
100,159.69263134002685,5.650156943003337,19.65414810180664
200,182.2899918270111,11.24130892753601,19.92082977294922
300,227.71904398600262,17.50527213017146,20.28897476196289
400,248.65643515110017,23.59042543967565,20.793903350830078
500,229.7152424840927,29.346959344546,21.390174865722656
600,220.59991636832555,35.123527618249256,22.535449981689453
700,216.7464020245416,40.78987698952357,23.186065673828125
800,211.4446074074507,47.108303737640384,23.970550537109375
900,212.30760734928978,53.343451702594756,23.75304412841797
1000,208.2762402319908,59.10493548711141,22.761478424072266
1100,214.68749112692745,64.97984417676926,23.453296661376953
1200,209.81009517828625,70.80980027119318,23.99951171875
